350,Buffets,0
351,Burgers,82
352,Chinese,370
353,Delis,326
354,Diners,38
355,Fast Food,390
356,French,24
357,Indian,47
358,Italian,209
359,Japanese,50
360,Korean,6
361,Mexican,143
362,Middle Eastern,5
363,Pizza,2536
364,Seafood,278
365,Steakhouses,71
366,Sushi,36
367,Thai,109
368,Vegan and Vegetarian,0
369,Social Clubs,2
370,Wineries and Vineyards,22
371,"Zoos, Aquariums and Wildlife Sanctuaries",2
372,Sports and Recreation,6767
373,Athletic Fields,12
374,Baseball,70
375,Batting Ranges,0
376,Basketball,2
377,Combat Sports,561
378,Cycling,35
379,Dance,714
380,Equestrian,85
381,Football,3
382,Golf,221
383,Gun Ranges,91
384,Gymnastics,113
385,Gyms and Fitness Centers,2112
386,Hockey,21
387,Outdoors,560
388,Campgrounds and RV Parks,287
389,Hiking,0
390,Hot Air Balloons,0
391,Hunting and Fishing,202
392,Rock Climbing,0
393,Skydiving,0
394,Paintball,0
395,Personal Trainers,271
396,Race Tracks,31
397,Racquet Sports,41
398,Racquetball,0
399,Tennis,41
400,Recreation Centers,175
401,Running,0
402,Skating,85
403,Snow Sports,41
404,Soccer,46
405,Sports Clubs,4
406,Stadiums and Arenas,45
407,Swimming Pools,86
408,Water Sports,611
409,Boating,573
410,Canoes and Kayaks,1
411,Rafting,19
412,Scuba Diving,2
413,Swimming,5
414,Yoga and Pilates,210
415,Transportation,8128
416,Airlines and Aviation Services,300
417,Gas Stations,2210
418,Parking,299
419,Public Transportation Services,738
420,Taxi and Car Services,3242
421,Car and Truck Rentals,1442
422,Charter Buses,248
423,Limos and Chauffeurs,770
424,Transport Hubs,1035
425,Airports,40
426,Bus Stations,0
427,Heliports,73
428,Ports,58
429,Rail Stations,267
430,Travel,4372
431,Cruises,84
432,Lodging,2508
433,Bed and Breakfasts,410
434,Cottages and Cabins,7
435,Hostels,1
436,Hotels and Motels,1926
437,Lodges and Vacation Rentals,22
438,Resorts,38
439,Tourist Information and Services,228
440,Travel Agents and Tour Operators,1187
2,Automotive,14634
3,Car Appraisers,15
18,Salvage Yards,7
108,Buildings and Structures,862
177,Services and Supplies,198140
185,Refrigeration and Ice,71
205,Art Restoration,1
210,Corporate HQ,0
217,Events and Event Planning,374
222,Business Brokers and Franchises,165
226,Fund Raising,29
308,Social,28626
